Banco;Sociedad;Fecha Documento;CIF;Proveedor;Nº Factura;Importe;F. Anticipo;F. Vencimiento;Días;% Interés;% Comisión;Total Comisión;Total Interés;% Reparto;Comisión Prisma;Interés Prisma;Calculo com Prisma;Calculo int prisma;Total diferencia
Zafiro;Rojo;05/01/2026;A45029721;Aguas Contrastados S.A.;3299087;3734,5;14/12/2025;08/04/2026;46;49,46;1,19;44,44;236,02;60;26,77;141,47;=G17*(L17/100)*(O17/100);=G17*(K17/360/100)*J17*(O17/100);=P17-R17+Q17-S17
Zafiro;Rojo;05/01/2026;A67116333;Interruptores Sostenibles S.A.;1589625;360,59;27/12/2025;27/06/2026;42;48,35;0,51;1,84;20,34;60;1,22;11,96;=G18*(L18/100)*(O18/100);=G18*(K18/360/100)*J18*(O18/100);=P18-R18+Q18-S18
Zafiro;Rojo;05/01/2026;B81967876;Barnices Diversificados S.L.;4404910;124,32;17/12/2025;06/06/2026;35;17,41;1,24;1,54;2,1;20;0,33;0,37;=G19*(L19/100)*(O19/100);=G19*(K19/360/100)*J19*(O19/100);=P19-R19+Q19-S19
Zafiro;Rojo;05/01/2026;B73219548;Saborizantes Energéticos S.L.;3713620;1451,7;15/12/2025;19/02/2026;38;30,78;1,08;15,68;47,17;30;4,5;14,02;=G20*(L20/100)*(O20/100);=G20*(K20/360/100)*J20*(O20/100);=P20-R20+Q20-S20
Zafiro;Rojo;05/01/2026;A21415852;Envases Refractarios S.A.;2758087;676,72;05/12/2025;19/04/2026;49;36,07;1,24;8,39;33,22;60;5,16;20,03;=G21*(L21/100)*(O21/100);=G21*(K21/360/100)*J21*(O21/100);=P21-R21+Q21-S21
Zafiro;Rojo;05/01/2026;B20637475;Pavimentos Ampliados S.L.;3051136;222,33;05/12/2025;26/02/2026;16;25,81;1,56;3,47;2,55;30;1,25;0,56;=G22*(L22/100)*(O22/100);=G22*(K22/360/100)*J22*(O22/100);=P22-R22+Q22-S22
Zafiro;Rojo;05/01/2026;A62518559;Variadores Diferenciados S.A.;1374336;182,66;26/12/2025;23/05/2026;12;46,48;1,45;2,65;2,83;40;0,95;1,4;=G23*(L23/100)*(O23/100);=G23*(K23/360/100)*J23*(O23/100);=P23-R23+Q23-S23
Zafiro;Rojo;05/01/2026;B81969135;Circuitos Alpinos S.L.;3036522;567,96;24/12/2025;09/06/2026;82;41,81;2,32;13,18;54,09;70;9,37;37,78;=G24*(L24/100)*(O24/100);=G24*(K24/360/100)*J24*(O24/100);=P24-R24+Q24-S24
Zafiro;Rojo;05/01/2026;A53391396;Almidones Profesionales S.A.;2981428;2022,17;28/12/2025;15/06/2026;66;45,43;1,66;33,57;168,42;30;10,26;50,55;=G25*(L25/100)*(O25/100);=G25*(K25/360/100)*J25*(O25/100);=P25-R25+Q25-S25
Zafiro;Rojo;05/01/2026;A25151671;Cables Orgánicos S.A.;2908304;168,29;25/12/2025;10/04/2026;48;25,04;2,35;3,95;5,62;60;2,27;3,08;=G26*(L26/100)*(O26/100);=G26*(K26/360/100)*J26*(O26/100);=P26-R26+Q26-S26
Zafiro;Rojo;05/01/2026;B83937043;Bioresiduos Inteligentes S.L.;1217370;413,61;22/12/2025;21/06/2026;21;26,69;1,48;6,12;6,44;20;1,25;1,53;=G27*(L27/100)*(O27/100);=G27*(K27/360/100)*J27*(O27/100);=P27-R27+Q27-S27
Zafiro;Rojo;05/01/2026;A00080533;Reciclajes Productivos S.A.;4449503;643,58;23/12/2025;24/06/2026;56;11,62;2,88;18,54;11,63;20;3,6;2,09;=G28*(L28/100)*(O28/100);=G28*(K28/360/100)*J28*(O28/100);=P28-R28+Q28-S28
Zafiro;Rojo;05/01/2026;B29440893;Instalaciones Activos S.L.;2672338;525,54;10/12/2025;15/02/2026;68;35,4;1,49;7,83;35,14;30;2,45;10,47;=G29*(L29/100)*(O29/100);=G29*(K29/360/100)*J29*(O29/100);=P29-R29+Q29-S29
Zafiro;Rojo;05/01/2026;B44521892;Transmisiones Antihumedad S.L.;3411540;312,19;06/12/2025;16/05/2026;21;17,84;0,51;1,59;3,25;50;0,83;1,87;=G30*(L30/100)*(O30/100);=G30*(K30/360/100)*J30*(O30/100);=P30-R30+Q30-S30
Zafiro;Rojo;05/01/2026;B24227649;Travesaños Dorados S.L.;2726965;358,67;20/12/2025;03/01/2026;56;47,73;2,59;9,29;26,63;30;2,74;7,96;=G31*(L31/100)*(O31/100);=G31*(K31/360/100)*J31*(O31/100);=P31-R31+Q31-S31
Zafiro;Rojo;05/01/2026;A77287566;Perfiles Endurecidos S.A.;3181325;729,85;26/12/2025;27/02/2026;33;30,67;2,8;20,44;20,52;60;12,1;12,58;=G32*(L32/100)*(O32/100);=G32*(K32/360/100)*J32*(O32/100);=P32-R32+Q32-S32
Zafiro;Rojo;05/01/2026;A39076864;Contrachapados Orgánicos S.A.;4942745;605,19;07/12/2025;02/03/2026;19;23,42;1,84;11,14;7,48;70;7,66;5,07;=G33*(L33/100)*(O33/100);=G33*(K33/360/100)*J33*(O33/100);=P33-R33+Q33-S33
Zafiro;Rojo;05/01/2026;B74330174;Azúcares Virtuales S.L.;3413526;816,13;18/12/2025;27/02/2026;76;39,29;2,45;20;67,69;30;6,17;20,49;=G34*(L34/100)*(O34/100);=G34*(K34/360/100)*J34*(O34/100);=P34-R34+Q34-S34
Zafiro;Rojo;05/01/2026;B13837871;Vellones Dirigidos S.L.;4186875;8761,47;01/12/2025;12/02/2026;10;13,9;2,18;191;33,83;60;114,39;20,07;=G35*(L35/100)*(O35/100);=G35*(K35/360/100)*J35*(O35/100);=P35-R35+Q35-S35
Zafiro;Rojo;05/01/2026;A97934828;Tinturas Mate S.A.;1816058;4658,21;17/12/2025;24/02/2026;88;35,16;1,51;70,34;400,36;20;14,09;80,34;=G36*(L36/100)*(O36/100);=G36*(K36/360/100)*J36*(O36/100);=P36-R36+Q36-S36
Zafiro;Rojo;05/01/2026;B42360172;Bioestimulantes Líderes S.L.;1040723;556,69;09/12/2025;14/05/2026;80;49,38;1,69;9,41;61,09;30;2,62;18,37;=G37*(L37/100)*(O37/100);=G37*(K37/360/100)*J37*(O37/100);=P37-R37+Q37-S37
Zafiro;Rojo;05/01/2026;A04874614;Aguas Refractarios S.A.;1736336;8688,73;21/12/2025;02/05/2026;30;15,78;2,79;242,42;114,26;60;145,72;68,83;=G38*(L38/100)*(O38/100);=G38*(K38/360/100)*J38*(O38/100);=P38-R38+Q38-S38
Zafiro;Rojo;05/01/2026;B94070480;Bridas Modulares S.L.;4617884;5309,11;07/12/2025;19/03/2026;63;23,05;2,49;132,2;214,16;70;92,51;149,69;=G39*(L39/100)*(O39/100);=G39*(K39/360/100)*J39*(O39/100);=P39-R39+Q39-S39
Zafiro;Rojo;05/01/2026;A76453834;Vellones Segmentados S.A.;1874431;2662,58;17/12/2025;19/02/2026;40;28,14;0,98;26,09;83,25;50;12,97;41,89;=G40*(L40/100)*(O40/100);=G40*(K40/360/100)*J40*(O40/100);=P40-R40+Q40-S40
Zafiro;Rojo;05/01/2026;B27562387;Fermentos Mediterráneos S.L.;3926110;425,2;06/12/2025;06/05/2026;64;49,27;2,57;10,93;37,24;40;4,53;14,67;=G41*(L41/100)*(O41/100);=G41*(K41/360/100)*J41*(O41/100);=P41-R41+Q41-S41
Zafiro;Rojo;05/01/2026;A59501703;Latones Automatizados S.A.;2213085;2109,2;23/12/2025;09/05/2026;57;14,72;2,73;57,58;49,16;20;11,75;9,78;=G42*(L42/100)*(O42/100);=G42*(K42/360/100)*J42*(O42/100);=P42-R42+Q42-S42
Zafiro;Rojo;05/01/2026;B86167212;Válvulas Tradicionales S.L.;2929089;9120,53;03/12/2025;26/01/2026;85;48,43;1,53;139,54;1042,92;60;83,97;625,84;=G43*(L43/100)*(O43/100);=G43*(K43/360/100)*J43*(O43/100);=P43-R43+Q43-S43
Zafiro;Rojo;05/01/2026;A47446825;Redes Ibéricos S.A.;3411275;5201,25;22/12/2025;28/01/2026;78;33,6;1,73;89,98;378,65;40;36,01;151,24;=G44*(L44/100)*(O44/100);=G44*(K44/360/100)*J44*(O44/100);=P44-R44+Q44-S44
Zafiro;Rojo;05/01/2026;B20637475;Pavimentos Ampliados S.L.;3894273;682,87;21/12/2025;01/01/2026;38;47,11;2,26;15,43;33,96;60;9,33;20,3;=G45*(L45/100)*(O45/100);=G45*(K45/360/100)*J45*(O45/100);=P45-R45+Q45-S45
Zafiro;Rojo;05/01/2026;B88683138;Lubricantes Eminentes S.L.;4566283;178,83;25/12/2025;27/01/2026;75;45,03;2,7;4,83;16,78;60;3,07;10,27;=G46*(L46/100)*(O46/100);=G46*(K46/360/100)*J46*(O46/100);=P46-R46+Q46-S46
Zafiro;Rojo;05/01/2026;A69638537;Circuitos Aragoneses S.A.;1745978;442,18;02/12/2025;08/06/2026;90;10,95;1,21;5,35;12,1;70;3,48;8,46;=G47*(L47/100)*(O47/100);=G47*(K47/360/100)*J47*(O47/100);=P47-R47+Q47-S47
Zafiro;Rojo;05/01/2026;B27653469;Áridos Soldados S.L.;4014485;437,98;08/12/2025;14/06/2026;61;33,79;2,08;9,11;25,08;50;4,57;12,29;=G48*(L48/100)*(O48/100);=G48*(K48/360/100)*J48*(O48/100);=P48-R48+Q48-S48
Zafiro;Rojo;05/01/2026;B66887650;Fletes Moldeados S.L.;3041853;634,97;19/12/2025;13/05/2026;38;13,4;0,62;3,94;8,98;60;2,43;5,23;=G49*(L49/100)*(O49/100);=G49*(K49/360/100)*J49*(O49/100);=P49-R49+Q49-S49
Zafiro;Rojo;05/01/2026;B35806964;Canalizaciones Alpinos S.L.;2527144;518,89;18/12/2025;07/06/2026;13;44,81;2,39;12,4;8,4;50;6,23;4,28;=G50*(L50/100)*(O50/100);=G50*(K50/360/100)*J50*(O50/100);=P50-R50+Q50-S50
Zafiro;Rojo;05/01/2026;B13373165;Correas Acelerados S.L.;4748672;9576,58;07/12/2025;01/01/2026;85;48,96;0,74;70,87;1107,05;70;49,73;774,87;=G51*(L51/100)*(O51/100);=G51*(K51/360/100)*J51*(O51/100);=P51-R51+Q51-S51
Zafiro;Rojo;05/01/2026;A25140912;Harinas Limpios S.A.;4478163;3774,22;25/12/2025;09/03/2026;10;18,88;1,49;56,24;19,79;40;22,58;8,1;=G52*(L52/100)*(O52/100);=G52*(K52/360/100)*J52*(O52/100);=P52-R52+Q52-S52
Zafiro;Rojo;05/01/2026;A99313980;Quillas Elegidos S.A.;4721655;491,19;13/12/2025;03/06/2026;28;19,87;2,32;11,4;7,59;70;8,15;5,49;=G53*(L53/100)*(O53/100);=G53*(K53/360/100)*J53*(O53/100);=P53-R53+Q53-S53
Zafiro;Rojo;05/01/2026;B07314170;Espumas Reticulados S.L.;2374512;872,09;07/12/2025;17/05/2026;34;36,71;2,4;20,93;30,24;50;10,5;15,16;=G54*(L54/100)*(O54/100);=G54*(K54/360/100)*J54*(O54/100);=P54-R54+Q54-S54
Zafiro;Rojo;05/01/2026;A65295256;Catalizadores Singulares S.A.;1928270;906,04;23/12/2025;14/05/2026;32;49,63;2,62;23,74;39,97;30;7,41;11,79;=G55*(L55/100)*(O55/100);=G55*(K55/360/100)*J55*(O55/100);=P55-R55+Q55-S55
Zafiro;Rojo;05/01/2026;A27295823;Piensos Herméticos S.A.;2973451;647,51;19/12/2025;07/05/2026;17;40,82;1,48;9,58;12,48;20;2,01;2,57;=G56*(L56/100)*(O56/100);=G56*(K56/360/100)*J56*(O56/100);=P56-R56+Q56-S56
Zafiro;Rojo;05/01/2026;B95586293;Excipientes Digitales S.L.;2017433;8362,31;12/12/2025;23/02/2026;65;14,28;2,98;249,2;215,61;20;49,82;42,85;=G57*(L57/100)*(O57/100);=G57*(K57/360/100)*J57*(O57/100);=P57-R57+Q57-S57
Zafiro;Rojo;05/01/2026;A04562902;Solventes Miniaturizados S.A.;4507413;214,71;21/12/2025;19/01/2026;38;38,08;0,61;1,31;8,63;20;0,55;2,02;=G58*(L58/100)*(O58/100);=G58*(K58/360/100)*J58*(O58/100);=P58-R58+Q58-S58
Zafiro;Rojo;05/01/2026;B85162309;Mieles Pivotantes S.L.;4273887;617,16;26/12/2025;05/01/2026;74;21,73;1,49;9,2;27,57;40;3,89;11,26;=G59*(L59/100)*(O59/100);=G59*(K59/360/100)*J59*(O59/100);=P59-R59+Q59-S59
Zafiro;Rojo;05/01/2026;B76475692;Contrachapados Creativos S.L.;1163067;239,08;08/12/2025;18/02/2026;69;45,8;0,52;1,24;20,99;70;0,8;14,93;=G60*(L60/100)*(O60/100);=G60*(K60/360/100)*J60*(O60/100);=P60-R60+Q60-S60
Zafiro;Rojo;05/01/2026;A39395834;Embalajes Monumentales S.A.;1389207;3937,95;25/12/2025;20/01/2026;71;34;1,61;63,4;264,06;60;38,16;158,2;=G61*(L61/100)*(O61/100);=G61*(K61/360/100)*J61*(O61/100);=P61-R61+Q61-S61
Zafiro;Rojo;05/01/2026;A22700331;Alcoholes Blindados S.A.;3698360;728,78;16/12/2025;02/05/2026;44;31,81;1,02;7,43;28,33;40;2,89;11,4;=G62*(L62/100)*(O62/100);=G62*(K62/360/100)*J62*(O62/100);=P62-R62+Q62-S62
Zafiro;Rojo;05/01/2026;B42651900;Cápsulas Plateados S.L.;3146062;2074,21;15/12/2025;12/03/2026;27;20,42;1,8;37,34;31,77;30;11,12;9,28;=G63*(L63/100)*(O63/100);=G63*(K63/360/100)*J63*(O63/100);=P63-R63+Q63-S63
Zafiro;Rojo;05/01/2026;A15071021;Estructuras Inteligentes S.A.;2751492;369,16;16/12/2025;13/05/2026;46;44,26;1,83;6,76;20,88;30;1,73;6,41;=G64*(L64/100)*(O64/100);=G64*(K64/360/100)*J64*(O64/100);=P64-R64+Q64-S64
Zafiro;Rojo;05/01/2026;B66756052;Perfiles Aprobados S.L.;3990176;403,53;10/12/2025;25/02/2026;56;33,47;0,78;3,15;21,01;40;1,1;8,5;=G65*(L65/100)*(O65/100);=G65*(K65/360/100)*J65*(O65/100);=P65-R65+Q65-S65
Zafiro;Rojo;05/01/2026;B78732192;Aleaciones Iterativos S.L.;3452080;116,81;17/12/2025;01/04/2026;58;46,32;2,1;2,45;8,72;40;0,93;3,37;=G66*(L66/100)*(O66/100);=G66*(K66/360/100)*J66*(O66/100);=P66-R66+Q66-S66
Zafiro;Rojo;05/01/2026;A36097750;Parquets Armados S.A.;2908384;5044,61;27/12/2025;24/05/2026;32;13,36;1,83;92,32;59,91;50;46,38;29,93;=G67*(L67/100)*(O67/100);=G67*(K67/360/100)*J67*(O67/100);=P67-R67+Q67-S67
Zafiro;Rojo;05/01/2026;B01119043;Filamentos Exotérmicos S.L.;4369374;394,01;15/12/2025;10/01/2026;65;37,02;1,48;5,83;26,34;20;1,22;5,3;=G68*(L68/100)*(O68/100);=G68*(K68/360/100)*J68*(O68/100);=P68-R68+Q68-S68
Zafiro;Rojo;05/01/2026;B29890451;Normativas Supervisados S.L.;4491011;991,59;01/12/2025;02/06/2026;39;24,26;2,7;26,77;26,06;70;18,55;17,96;=G69*(L69/100)*(O69/100);=G69*(K69/360/100)*J69*(O69/100);=P69-R69+Q69-S69
Zafiro;Rojo;05/01/2026;A53918704;Remolques Notables S.A.;2589317;8231,89;20/12/2025;21/01/2026;13;11,7;2,49;204,97;34,78;20;41,07;6,73;=G70*(L70/100)*(O70/100);=G70*(K70/360/100)*J70*(O70/100);=P70-R70+Q70-S70
Zafiro;Rojo;05/01/2026;A92050707;Alcantarillados Descentralizados S.A.;3837612;9328,28;20/12/2025;11/01/2026;80;44,7;0,56;52,24;926,61;20;10,67;185,19;=G71*(L71/100)*(O71/100);=G71*(K71/360/100)*J71*(O71/100);=P71-R71+Q71-S71
Zafiro;Rojo;05/01/2026;B23370540;Fertilizantes Elásticos S.L.;3057199;342,33;02/12/2025;07/05/2026;73;49,7;1,17;4,01;34,5;20;1,03;6,65;=G72*(L72/100)*(O72/100);=G72*(K72/360/100)*J72*(O72/100);=P72-R72+Q72-S72
Zafiro;Rojo;05/01/2026;A26123274;Sales Expansivos S.A.;1944464;898,05;28/12/2025;22/06/2026;52;16,59;1,9;17,06;21,52;60;10,52;12,88;=G73*(L73/100)*(O73/100);=G73*(K73/360/100)*J73*(O73/100);=P73-R73+Q73-S73
Zafiro;Rojo;05/01/2026;A32805421;Palés Tratados S.A.;4020360;5207,34;20/12/2025;16/04/2026;50;43,33;1,02;53,11;313,38;30;16,08;94,2;=G74*(L74/100)*(O74/100);=G74*(K74/360/100)*J74*(O74/100);=P74-R74+Q74-S74
Zafiro;Rojo;05/01/2026;A40233317;Cuarzos Laminados S.A.;2384419;8216,69;28/12/2025;16/03/2026;16;33,88;0,7;57,52;123,73;40;23,14;49,64;=G75*(L75/100)*(O75/100);=G75*(K75/360/100)*J75*(O75/100);=P75-R75+Q75-S75
Zafiro;Rojo;05/01/2026;B63022332;Tintas Especializados S.L.;4934571;6276,05;24/12/2025;10/01/2026;89;25,03;0,8;50,21;388,36;20;10,24;77,62;=G76*(L76/100)*(O76/100);=G76*(K76/360/100)*J76*(O76/100);=P76-R76+Q76-S76
Zafiro;Rojo;05/01/2026;B01119043;Filamentos Exotérmicos S.L.;4704585;7672,12;07/12/2025;09/03/2026;48;47,32;1,85;141,93;484,06;50;71,15;242,11;=G77*(L77/100)*(O77/100);=G77*(K77/360/100)*J77*(O77/100);=P77-R77+Q77-S77
Zafiro;Rojo;05/01/2026;B27562387;Fermentos Mediterráneos S.L.;3884874;105,98;16/12/2025;23/01/2026;75;26,31;0,71;0,75;5,81;70;0,72;4,2;=G78*(L78/100)*(O78/100);=G78*(K78/360/100)*J78*(O78/100);=P78-R78+Q78-S78
Zafiro;Rojo;05/01/2026;A70814947;Transistores Supervisados S.A.;2600941;9098,5;20/12/2025;07/06/2026;24;38,12;0,82;74,61;231,22;20;14,65;46,23;=G79*(L79/100)*(O79/100);=G79*(K79/360/100)*J79*(O79/100);=P79-R79+Q79-S79
Zafiro;Rojo;05/01/2026;A06023272;Filtrados Granulados S.A.;3970488;765,09;07/12/2025;12/01/2026;41;37,99;0,83;6,35;33,1;40;2,78;13,46;=G80*(L80/100)*(O80/100);=G80*(K80/360/100)*J80*(O80/100);=P80-R80+Q80-S80
Zafiro;Rojo;05/01/2026;B29702856;Configuraciones Comprometidos S.L.;3329295;758,08;16/12/2025;28/05/2026;28;28,24;1,7;12,89;16,65;70;8,86;11,88;=G81*(L81/100)*(O81/100);=G81*(K81/360/100)*J81*(O81/100);=P81-R81+Q81-S81
Zafiro;Rojo;05/01/2026;B50281288;Cables Eléctricos S.L.;2065554;6514,61;16/12/2025;05/02/2026;39;41,73;0,79;51,47;294,51;60;31,09;176,56;=G82*(L82/100)*(O82/100);=G82*(K82/360/100)*J82*(O82/100);=P82-R82+Q82-S82
Zafiro;Rojo;05/01/2026;B11019877;Redes Estratificados S.L.;4120365;796,67;18/12/2025;05/06/2026;85;39,52;2,38;18,96;74,34;50;9,27;37,25;=G83*(L83/100)*(O83/100);=G83*(K83/360/100)*J83*(O83/100);=P83-R83+Q83-S83
Zafiro;Rojo;05/01/2026;B97925328;Volquetes Preparados S.L.;3663173;432,85;24/12/2025;04/01/2026;20;13,36;1,99;8,61;3,21;50;4,38;1,71;=G84*(L84/100)*(O84/100);=G84*(K84/360/100)*J84*(O84/100);=P84-R84+Q84-S84
Zafiro;Rojo;05/01/2026;B48716368;Papeles Cromados S.L.;4322962;2822,36;28/12/2025;23/06/2026;55;14,24;1,8;50,8;61,4;40;20,56;24,53;=G85*(L85/100)*(O85/100);=G85*(K85/360/100)*J85*(O85/100);=P85-R85+Q85-S85
Zafiro;Rojo;05/01/2026;B84468195;Inductores Corporativos S.L.;2868681;6365,54;09/12/2025;24/05/2026;29;31,37;2,27;144,5;160,86;60;86,62;96,59;=G86*(L86/100)*(O86/100);=G86*(K86/360/100)*J86*(O86/100);=P86-R86+Q86-S86
Zafiro;Rojo;05/01/2026;B13837871;Vellones Dirigidos S.L.;4651935;5263,64;04/12/2025;22/06/2026;43;24,04;0,79;41,58;151,14;40;16,84;60,68;=G87*(L87/100)*(O87/100);=G87*(K87/360/100)*J87*(O87/100);=P87-R87+Q87-S87
Zafiro;Rojo;05/01/2026;A63628922;Auditorías Macroescalados S.A.;2081868;410,91;10/12/2025;15/06/2026;58;15,36;2,39;9,82;10,17;30;3,01;2,89;=G88*(L88/100)*(O88/100);=G88*(K88/360/100)*J88*(O88/100);=P88-R88+Q88-S88
Zafiro;Rojo;05/01/2026;A14295487;Poliésteres Desarrollados S.A.;4727562;139,79;24/12/2025;17/05/2026;22;32,68;2,65;3,7;2,79;50;1,7;1,41;=G89*(L89/100)*(O89/100);=G89*(K89/360/100)*J89*(O89/100);=P89-R89+Q89-S89
Zafiro;Rojo;05/01/2026;B40704889;Cobres Internacionales S.L.;2988904;559,91;09/12/2025;07/04/2026;51;26,48;1,09;6,1;21;70;4,4;14,68;=G90*(L90/100)*(O90/100);=G90*(K90/360/100)*J90*(O90/100);=P90-R90+Q90-S90
Zafiro;Rojo;05/01/2026;B50766877;Depuraciones Mineralizados S.L.;2146415;868,57;09/12/2025;08/02/2026;68;48,67;1,88;16,33;79,85;70;11,65;55,72;=G91*(L91/100)*(O91/100);=G91*(K91/360/100)*J91*(O91/100);=P91-R91+Q91-S91
Zafiro;Rojo;05/01/2026;B43933366;Microchips Responsables S.L.;2668374;725,5;20/12/2025;21/03/2026;21;46,69;1,35;9,79;19,76;50;5,06;9,82;=G92*(L92/100)*(O92/100);=G92*(K92/360/100)*J92*(O92/100);=P92-R92+Q92-S92
Zafiro;Rojo;05/01/2026;A31957739;Aglomerados Colosales S.A.;2365183;135,55;07/12/2025;04/06/2026;43;35,42;0,86;1,17;5,73;50;0,82;2,89;=G93*(L93/100)*(O93/100);=G93*(K93/360/100)*J93*(O93/100);=P93-R93+Q93-S93
Zafiro;Rojo;05/01/2026;B53439160;Fundiciones Globalizados S.L.;1893565;446,92;01/12/2025;20/05/2026;48;46,93;1,39;6,21;27,97;40;2,41;10,89;=G94*(L94/100)*(O94/100);=G94*(K94/360/100)*J94*(O94/100);=P94-R94+Q94-S94
Zafiro;Rojo;05/01/2026;B28229259;Volquetes Sectoriales S.L.;2499106;219,41;06/12/2025;22/03/2026;86;38,48;1,41;3,09;20,17;60;1,74;12,08;=G95*(L95/100)*(O95/100);=G95*(K95/360/100)*J95*(O95/100);=P95-R95+Q95-S95
Zafiro;Rojo;05/01/2026;A55606571;Plataformas Industrializados S.A.;1120413;181,45;04/12/2025;08/02/2026;24;22,94;1,08;1,96;2,77;20;0,32;0,28;=G96*(L96/100)*(O96/100);=G96*(K96/360/100)*J96*(O96/100);=P96-R96+Q96-S96
Zafiro;Rojo;05/01/2026;B08969605;Aleaciones Absorbentes S.L.;1954873;131,56;12/12/2025;22/02/2026;34;44,81;1,76;2,32;5,57;50;1,25;2,74;=G97*(L97/100)*(O97/100);=G97*(K97/360/100)*J97*(O97/100);=P97-R97+Q97-S97
Zafiro;Rojo;05/01/2026;A35184746;Transmisiones Colosales S.A.;1783981;899,22;06/12/2025;15/01/2026;81;11,63;1,66;14,93;23,53;30;4,29;7,13;=G98*(L98/100)*(O98/100);=G98*(K98/360/100)*J98*(O98/100);=P98-R98+Q98-S98
